Date,HomeTeam,AwayTeam,HS,AS,HST,AST,FTHG,FTAG,WRH,WRA,PH,PA,FTR
28/04/15,Udinese,Inter,9,22,1,11,1,2,27,36,-2,3,A
29/04/15,Cesena,Atalanta,10,16,5,7,2,2,12,18,-2,0,D
29/04/15,Chievo,Cagliari,10,10,3,1,1,0,30,15,1,-3,H
29/04/15,Juventus,Fiorentina,12,14,5,2,3,2,69,39,1,-3,H
29/04/15,Lazio,Parma,11,11,7,3,4,0,57,18,2,0,H
29/04/15,Milan,Genoa,11,17,5,9,1,3,30,39,-1,3,A
29/04/15,Palermo,Torino,16,14,3,4,2,2,30,36,0,2,D
29/04/15,Sampdoria,Verona,20,11,5,4,1,1,36,30,-2,1,D
29/04/15,Sassuolo,Roma,11,8,6,5,0,3,24,48,-2,1,A
30/04/15,Empoli,Napoli,10,14,4,5,4,2,21,46,-1,1,H
02/05/15,Sampdoria,Juventus,18,14,2,5,0,1,35,70,-2,1,A
02/05/15,Sassuolo,Palermo,6,13,2,2,0,0,23,29,-3,1,D
03/05/15,Atalanta,Lazio,16,13,6,5,1,1,17,55,1,1,D
03/05/15,Fiorentina,Cesena,23,13,12,1,3,1,41,11,-3,-3,H
03/05/15,Inter,Chievo,23,11,3,4,0,0,35,29,3,2,D
03/05/15,Napoli,Milan,27,2,7,1,3,0,48,29,3,-3,H
03/05/15,Roma,Genoa,15,10,6,3,2,0,50,38,1,1,H
03/05/15,Verona,Udinese,15,20,3,5,0,1,29,29,0,0,A
04/05/15,Cagliari,Parma,11,21,7,3,4,0,17,17,-1,-2,H
06/05/15,Torino,Empoli,19,20,5,6,0,1,35,23,0,1,A
09/05/15,Juventus,Cagliari,13,15,4,6,1,1,68,17,2,0,D
09/05/15,Milan,Roma,11,15,4,3,2,1,31,48,-2,0,H
10/05/15,Cesena,Sassuolo,12,12,6,7,2,3,11,25,-3,-1,A
10/05/15,Chievo,Verona,18,14,3,3,2,2,28,28,1,1,D
10/05/15,Empoli,Fiorentina,16,11,3,5,2,3,22,42,1,-1,A
10/05/15,Lazio,Inter,12,14,6,7,1,2,54,37,-1,3,A
10/05/15,Palermo,Atalanta,24,10,8,7,2,3,28,20,-1,1,A
10/05/15,Parma,Napoli,13,23,5,12,2,2,17,47,-1,2,D
10/05/15,Udinese,Sampdoria,15,20,3,11,1,4,28,37,0,-1,A
11/05/15,Genoa,Torino,13,9,8,4,5,1,40,34,1,-1,H
16/05/15,Inter,Juventus,20,14,7,4,1,2,36,69,2,2,A
